full_name,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
  1418 Fayeta (A903 SJ),MBA,N,N,12.13,11.701,0.2,63.641,,,0.2036,2.242,1.785,7.2,354.97,324.63,172.24,0.2936,1230.0,0.777,0,9887
  1419 Danzig (1929 RF),MBA,N,N,11.4,14.997,0.26,8.1202,,,0.147,2.293,1.956,5.73,213.48,232.75,185.06,0.2839,1270.0,0.978,0,8188
  1420 Radcliffe (1931 RJ),MBA,N,N,12.0,20.524,0.047,4.792,,,0.0781,2.748,2.534,3.49,260.71,72.64,265.92,0.2163,1660.0,1.52,0,6153
  1421 Esperanto (1936 FQ),MBA,N,N,10.6,43.31,0.0714,21.982,,,0.0845,3.089,2.828,9.8,42.55,161.56,155.03,0.1816,1980.0,1.82,0,8458
  1422 Stromgrenia (1936 QF),MBA,N,N,13.35,5.814,0.224,3.5051,,,0.1679,2.247,1.87,2.68,201.5,171.07,147.45,0.2926,1230.0,0.869,0,7391
  1423 Jose (1936 QM),MBA,N,N,10.93,19.58,0.338,12.307,,,0.0828,2.858,2.622,2.9,58.42,320.2,144.03,0.204,1770.0,1.62,0,5378
  1424 Sundmania (1937 AJ),MBA,N,N,9.98,64.691,0.03,93.73,,,0.0556,3.19,3.013,9.16,42.88,304.2,352.24,0.173,2080.0,2.02,0,7955
  1425 Tuorla (1937 GB),MBA,N,N,11.33,11.795,0.383,7.75,,,0.0979,2.612,2.357,12.96,185.86,341.71,21.24,0.2334,1540.0,1.36,0,5807
  1426 Riviera (1937 GF),MBA,N,N,11.0,17.613,0.414,4.4044,,,0.1611,2.58,2.164,9.07,334.99,274.54,105.44,0.2378,1510.0,1.17,0,8730
  1427 Ruvuma (1937 KB),MBA,N,N,11.43,35.406,0.034,4.797,,,0.2101,2.752,2.174,9.34,78.41,241.9,93.86,0.2159,1670.0,1.18,0,15144
  1428 Mombasa (1937 NO),MBA,N,N,10.27,52.464,0.038,16.67,,,0.1415,2.809,2.412,17.3,115.62,251.84,214.37,0.2093,1720.0,1.47,0,7286
  1429 Pemba (1937 NH),MBA,N,N,12.34,9.874,0.196,20.0,,,0.3342,2.554,1.7,7.75,47.65,297.83,211.28,0.2415,1490.0,0.71,0,5351
  1430 Somalia (1937 NK),MBA,N,N,12.16,9.352,0.153,6.913,,,0.1996,2.559,2.049,3.29,326.95,351.94,185.78,0.2407,1500.0,1.03,0,5390
  1431 Luanda (1937 OB),MBA,N,N,11.63,13.608,0.36,4.141,,,0.1838,2.619,2.138,13.99,117.65,223.95,271.32,0.2325,1550.0,1.15,0,6233
  1432 Ethiopia (1937 PG),MBA,N,N,12.04,7.074,0.769,9.8458,,,0.2255,2.382,1.845,8.27,123.2,218.46,350.93,0.2681,1340.0,0.842,0,7223
  1433 Geramtina (1937 UC),MBA,N,N,11.76,12.687,0.251,214.479,,,0.1675,2.798,2.33,8.25,321.4,94.79,290.15,0.2106,1710.0,1.36,0,8833
  1434 Margot (1936 FD1),MBA,N,N,10.39,27.178,0.13,8.2265,,,0.0693,3.016,2.807,10.83,152.31,144.96,293.58,0.1882,1910.0,1.8,0,8712
  1435 Garlena (1936 WE),MBA,N,N,13.21,14.54,0.044,5.758,,,0.2465,2.648,1.995,4.05,188.89,269.36,225.83,0.2288,1570.0,1.02,0,5833
  1436 Salonta (1936 YA),MBA,N,N,10.28,53.769,0.028,8.87,,,0.0605,3.148,2.957,13.89,260.38,32.23,135.55,0.1765,2040.0,1.95,0,6609
  1437 Diomedes (1937 PB),TJN,N,N,8.15,117.786,0.061,24.49,,,0.0461,5.227,4.986,20.45,315.78,131.15,106.27,0.08248,4360.0,4.03,0,5869
  1438 Wendeline (1937 TC),MBA,N,N,11.57,37.511,0.034,41.98,,,0.2369,3.159,2.411,2.04,238.2,129.03,207.46,0.1755,2050.0,1.41,0,6042
  1439 Vogtia (1937 TE),OMB,N,N,10.65,50.561,0.046,12.898,,,0.1171,3.993,3.525,4.2,35.54,100.92,286.62,0.1235,2910.0,2.54,0,5555
  1440 Rostia (1937 TF),MBA,N,N,12.58,15.299,0.083,9.448,,,0.1859,3.162,2.574,2.27,46.53,350.83,260.88,0.1753,2050.0,1.58,0,5663
  1441 Bolyai (1937 WA),MBA,N,N,13.25,14.76,0.0467,194.67,,,0.2389,2.632,2.003,13.92,253.96,115.82,260.29,0.2309,1560.0,1.05,0,5637
  1442 Corvina (1937 YF),MBA,N,N,11.49,16.947,0.145,77.92,,,0.0786,2.878,2.652,1.26,220.59,129.68,122.44,0.2019,1780.0,1.64,0,8059
  1443 Ruppina (1937 YG),MBA,N,N,11.06,16.467,0.218,5.88,,,0.0637,2.938,2.751,1.94,174.79,159.4,292.26,0.1957,1840.0,1.74,0,6714
