id,name,nasaJplUrl,absoluteMagnitude,estimatedDiameterMinKm,estimatedDiameterMaxKm,isPotentiallyHazardous,isSentryObject,closeApproachDate,closeApproachVelocityKmh,missDistanceKm,orbitingBody
2265962,265962 (2006 CG),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2265962,19.03,0.4154846434,0.9290519063,False,False,,,,
2267136,267136 (2000 EF104),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2267136,18.92,0.437074004,0.9773271842,False,False,1931-11-12,29409.3515865778,10769435.740216266,Mars
2267221,267221 (2001 AD2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2267221,19.85,0.2848098313,0.6368541435,True,False,1901-03-15,128059.0501676281,64874819.257893358,Earth
2267337,267337 (2001 VK5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2267337,18.05,0.6524616298,1.4589485569,True,False,1903-02-28,76211.3844392108,20150391.565846482,Venus
2275545,275545 (1998 UN1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2275545,18.21,0.6061149227,1.3553141694,False,False,2056-08-08,54708.2942387782,3580791.745276115,Mars
2275677,275677 (2000 RS11),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2275677,19.22,0.3806755436,0.8512163929,True,False,1904-03-04,37424.3356304633,16031406.448659432,Earth
2267494,267494 (2002 JB9),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2267494,16.17,1.5507970872,3.4676877062,True,False,1908-06-10,108813.7920084293,20608282.386878839,Earth
2267729,267729 (2003 FC5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2267729,18.46,0.5402004935,1.207925025,True,False,1902-04-05,106560.9104094403,70883160.383147171,Earth
2267759,267759 (2003 MC7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2267759,18.91,0.439091446,0.9818383215,False,False,2003-08-15,40518.8607645374,12112842.205525778,Mars
2267940,267940 (2004 EM20),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2267940,20.4,0.2210828104,0.4943561926,False,False,1918-07-07,80584.7782802839,22033188.395463947,Venus
2271480,271480 (2004 FX31),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2271480,17.66,0.7808272775,1.7459828712,False,False,1912-03-20,72914.9987527078,17534926.751280807,Earth
2274138,274138 (2008 FU6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2274138,17.77,0.742258153,1.659739687,False,False,1900-05-02,53030.867203719,26843255.698264914,Earth
2274855,274855 (2009 RB4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2274855,18.54,0.5206609142,1.1642331974,False,False,,,,
2275611,275611 (1999 XX262),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2275611,18.15,0.6230960191,1.3932850552,False,False,,,,
2267270,267270 (2001 RP17),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2267270,18.26,0.5923180627,1.3244634524,False,False,1907-10-15,14696.936772359,74707665.982783841,Earth
2275714,275714 (2000 YH4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2275714,18.82,0.4576726672,1.0233871954,False,False,1902-06-22,67871.616137581,24413562.356413311,Earth
2275974,275974 (2001 XD),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2275974,18.68,0.4881518917,1.0915408131,False,False,1902-10-02,57049.8257613226,65925057.251465596,Earth
2267131,267131 (2000 EK26),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2267131,18.23,0.6005580277,1.3428885744,True,False,1900-10-30,15590.8063843112,242110706.873082483,Juptr
2267223,267223 (2001 DQ8),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2267223,18.19,0.6117232351,1.367854737,False,False,1900-11-05,128761.3034618018,16566887.252152379,Venus
2267720,267720 (2003 CA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2267720,18.91,0.439091446,0.9818383215,True,False,1909-01-21,100718.282107121,14308056.668727666,Earth
2269690,269690 (1996 RG3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2269690,18.47,0.5377184977,1.2023751136,True,False,1906-05-04,26221.9740183162,13956444.153846651,Venus
2275558,275558 (1999 RH33),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2275558,19.06,0.4097839804,0.9163048363,False,False,1900-03-22,20639.8314076201,48902079.603606097,Earth
2275792,275792 (2001 QH142),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2275792,18.4,0.5553349116,1.2417666126,False,False,,,,
2276033,276033 (2002 AJ129),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2276033,18.75,0.4726666672,1.0569147985,True,False,1900-11-09,140002.036366653,13444851.183114665,Venus
