id,name,nasaJplUrl,absoluteMagnitude,estimatedDiameterMinKm,estimatedDiameterMaxKm,isPotentiallyHazardous,isSentryObject,closeApproachDate,closeApproachVelocityKmh,missDistanceKm,orbitingBody,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
2409836,409836 (2006 QY110),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2409836,18.07,0.6464798256,1.4455728362,True,False,1972-02-14,37570.5092934749,19742696.574757334,Venus,APO,Y,Y,18.07,0.554,0.331,,,,0.5742,1.924,0.819,6.4,222.61,221.65,49.6,0.3693,975.0,0.0319,0.0,249
2413820,413820 (2006 QR89),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2413820,19.65,0.3122877701,0.6982966825,False,False,1910-11-21,8676.0811049076,40472744.22272161,Earth,AMO,Y,N,19.65,0.659,0.049,,,,0.3672,1.889,1.195,9.24,166.34,263.76,92.4,0.3797,948.0,0.271,0.0,203
2414287,414287 (2008 OB9),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2414287,17.73,0.7560577624,1.6905965516,True,False,1919-01-14,48008.5897253512,35826067.279700816,Earth,APO,Y,Y,17.73,1.974,0.038,42.5,,,0.7597,3.201,0.769,13.5,202.67,238.62,331.52,0.1721,2090.0,0.0125,0.0,329
2414429,414429 (2009 DC43),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2414429,18.02,0.6615382752,1.4792445531,False,False,1917-07-09,58387.8813941912,26773056.149778064,Earth,APO,Y,N,18.02,2.866,0.015,,,,0.4894,1.8,0.919,20.84,84.22,172.97,304.26,0.408,882.0,0.0953,0.0,368
2414586,414586 (2009 UV18),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2414586,16.13,1.5796285576,3.532156834,False,False,1939-02-03,38251.912120529,243452769.2912888,Juptr,AMO,Y,N,16.13,0.996,0.709,,,,0.6331,3.172,1.164,8.34,86.75,62.66,288.89,0.1744,2060.0,0.221,0.0,960
2416567,416567 (2004 EB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2416567,17.13,0.99667824,2.2286402963,False,False,1917-11-25,45396.1600664195,295709967.331506,Juptr,AMO,Y,N,17.13,2.538,0.036,,,,0.6613,3.108,1.053,21.09,20.74,238.68,309.57,0.1798,2000.0,0.197,0.0,210
2419880,419880 (2011 AH37),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2419880,19.83,0.2874451443,0.6427468824,True,False,1907-02-12,86732.9856806796,30682892.38942252,Earth,APO,Y,Y,19.83,0.982,0.026,,,,0.672,2.548,0.836,9.66,102.04,322.42,253.44,0.2423,1490.0,0.0353,0.0,190
2422699,422699 (2000 PD3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2422699,18.28,0.586887658,1.3123206985,True,False,1902-01-11,57047.1666999606,9210532.840061763,Earth,APO,Y,Y,18.28,0.619,0.22,42.484,,,0.5919,1.999,0.816,7.7,298.63,110.25,310.77,0.3488,1030.0,0.0271,0.0,528
2424392,424392 (2007 YJ),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2424392,22.11,0.100590039,0.2249261651,False,False,1906-04-03,26242.680026615,27065406.26132729,Earth,APO,Y,N,22.11,0.239,0.054,,,,0.2797,1.103,0.795,3.31,28.87,199.41,39.45,0.8505,423.0,0.0512,0.0,189
2416801,416801 (2005 GC120),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2416801,19.64,0.313729225,0.7015198735,True,False,1909-01-27,69721.4883490146,10858180.338255536,Venus,APO,Y,Y,19.64,0.906,0.031,9.0,,,0.4975,1.193,0.6,16.54,67.92,258.31,215.55,0.756,476.0,0.00561,0.0,350
