full_name,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
 52387 Huitzilopochtli (1993 OM7),AMO,Y,N,17.75,0.89,0.171,26.0,,,0.1897,1.282,1.039,24.15,297.56,195.56,255.97,0.679,530.0,0.0604,0.0,1745
 52750 (1998 KK17),APO,Y,N,16.67,1.059,0.471,26.43,,,0.5249,1.427,0.678,11.17,141.31,334.16,98.23,0.5783,623.0,0.163,0.0,2420
 52760 (1998 ML14),APO,Y,Y,17.52,1.0,,14.28,,,0.6236,2.409,0.907,2.43,338.65,20.36,92.55,0.2637,1370.0,0.017,0.0,708
 52762 (1998 MT24),APO,Y,N,14.82,6.742,0.051,12.08,,,0.6532,2.416,0.838,33.87,308.95,254.51,134.2,0.2625,1370.0,0.137,0.0,1324
 52768 (1998 OR2),APO,Y,Y,16.02,1.75,,4.112,,,0.5757,2.379,1.01,5.88,26.93,174.57,188.66,0.2685,1340.0,0.00584,0.0,6120
 53319 (1999 JM8),APO,Y,Y,15.35,7.0,,143.7,,,0.6415,2.724,0.976,13.84,133.63,166.79,316.53,0.2192,1640.0,0.0262,0.0,1611
 53430 (1999 TY16),AMO,Y,N,16.66,1.233,0.266,9.5819,,,0.4032,2.099,1.253,60.41,241.92,156.97,219.87,0.3241,1110.0,0.291,0.0,964
 53789 (2000 ED104),APO,Y,Y,17.35,0.843,0.222,43.0,,,0.2692,1.371,1.002,40.78,190.02,218.36,122.59,0.6143,586.0,0.0478,0.0,1198
 54401 (2000 LM),AMO,Y,N,17.22,1.189,0.181,19.03,,,0.2623,1.711,1.262,18.95,240.84,67.09,113.22,0.4404,817.0,0.354,0.0,1218
 54686 (2001 DU8),AMO,Y,N,16.61,1.349,0.244,9.958,,,0.3418,1.777,1.17,33.21,161.68,265.93,213.83,0.4161,865.0,0.434,0.0,1444
 54789 (2001 MZ7),AMO,Y,N,15.07,1.567,0.856,37.57,,,0.2874,1.776,1.266,24.47,130.05,20.05,231.99,0.4164,864.0,0.292,0.0,9923
 55408 (2001 TC2),APO,Y,N,18.88,0.461,0.342,,,,0.2246,1.1,0.853,30.39,193.82,353.55,188.25,0.8544,421.0,0.147,0.0,560
 55532 (2001 WG2),APO,Y,N,16.16,1.306,0.376,46.08,,,0.6952,1.795,0.547,38.54,81.41,132.37,298.34,0.4099,878.0,0.339,0.0,1350
 65679 (1989 UQ),ATE,Y,Y,19.62,0.918,0.033,7.746,,,0.2645,0.9148,0.673,1.3,178.05,15.0,286.53,1.126,320.0,0.014,0.0,1164
 65803 Didymos (1996 GT),APO,Y,Y,18.11,0.78,,2.2593,,2.17,0.3832,1.643,1.013,3.41,72.98,319.59,167.22,0.4682,769.0,0.0397,0.0,1869
 66008 (1998 QH2),APO,Y,N,15.93,1.484,0.319,7.09,,,0.3627,1.426,0.909,61.01,168.92,14.0,141.74,0.5787,622.0,0.0776,0.0,1950
 66146 (1998 TU3),ATE,Y,N,14.36,2.864,0.224,2.375,,,0.4837,0.7875,0.407,5.42,101.88,84.99,74.77,1.41,255.0,0.0738,0.0,2384
 66251 (1999 GJ2),AMO,Y,N,17.0,1.222,0.187,2.4629,,,0.1981,1.536,1.231,11.28,196.17,142.55,232.35,0.518,695.0,0.247,0.0,3907
 66272 (1999 JW6),AMO,Y,N,17.22,0.808,0.4,502.0,,,0.1433,1.508,1.291,51.31,66.38,68.43,196.33,0.5325,676.0,0.409,0.0,1221
 66391 Moshup (1999 KW4),ATE,Y,Y,16.64,1.317,,2.7645,,1.974,0.6884,0.6424,0.2,38.88,244.9,192.65,342.6,1.914,188.0,0.0119,0.0,3871
 66400 (1999 LT7),ATE,Y,N,19.27,0.411,0.182,,,,0.5725,0.8554,0.366,9.06,79.79,341.42,25.62,1.246,289.0,0.0589,0.0,835
 68063 (2000 YJ66),AMO,Y,N,15.57,2.301,0.211,3.1592,,,0.4577,2.334,1.266,5.72,308.81,50.42,58.75,0.2764,1300.0,0.274,0.0,3492
 68216 (2001 CV26),APO,Y,Y,16.57,0.994,0.449,2.429,,,0.3267,1.32,0.889,17.99,18.13,48.76,201.77,0.6499,554.0,0.0242,0.0,3052
 68267 (2001 EA16),APO,Y,N,17.01,0.875,0.401,3.5,,,0.4273,1.51,0.865,38.82,8.0,317.42,15.8,0.5313,678.0,0.059,0.0,794
 68278 (2001 FC7),AMO,Y,N,18.47,0.942,0.087,3.4523,,,0.1143,1.436,1.272,2.62,99.04,234.53,337.19,0.5728,628.0,0.263,0.0,1829
 68346 (2001 KZ66),APO,Y,Y,16.92,0.736,0.291,4.987,,,0.4165,1.507,0.88,16.7,219.37,140.28,346.82,0.5325,676.0,0.0385,0.0,1249
 68348 (2001 LO7),APO,Y,N,14.27,3.512,0.299,3.3313,,,0.8409,2.155,0.343,25.36,236.23,181.67,177.38,0.3115,1160.0,0.386,0.0,1609
 68350 (2001 MK3),AMO,Y,N,16.11,1.794,0.219,3.21082,,,0.2475,1.67,1.256,29.57,128.83,328.58,311.25,0.4568,788.0,0.302,0.0,7565
 68548 (2001 XR31),APO,Y,Y,16.57,1.182,0.289,,,,0.4367,1.707,0.962,22.71,302.02,24.7,3.28,0.4419,815.0,0.0265,0.0,1389
 68950 (2002 QF15),APO,Y,Y,16.39,1.65,0.178,45.24,,,0.3443,1.057,0.693,25.15,236.2,255.57,57.35,0.907,397.0,0.00477,0.0,2931
 85182 (1991 AQ),APO,Y,Y,17.13,1.1,0.242,,,,0.7776,2.22,0.494,3.12,339.38,243.25,178.5,0.2979,1210.0,0.016,0.0,750
 85275 (1994 LY),AMO,Y,N,16.49,2.506,0.093,2.6967,,,0.4419,1.891,1.055,17.71,141.13,202.86,359.57,0.379,950.0,0.0637,0.0,10201
 85628 (1998 KV2),AMO,Y,N,17.28,0.775,0.461,2.8228,,,0.3316,1.592,1.064,13.03,66.73,50.6,338.19,0.4906,734.0,0.143,0.0,4579
 85709 (1998 SG36),AMO,Y,N,15.93,2.23,0.141,3.573,,,0.3376,1.646,1.09,24.83,186.55,29.83,88.68,0.4667,771.0,0.122,0.0,5998
 85713 (1998 SS49),APO,Y,Y,15.77,3.484,0.076,2.258,,,0.6388,1.923,0.695,10.79,40.95,103.13,27.39,0.3695,974.0,0.00504,0.0,1497
 85774 (1998 UT18),APO,Y,Y,19.09,0.939,0.042,55.0,,,0.3289,1.403,0.941,13.59,64.62,50.16,55.93,0.5932,607.0,0.0358,0.0,900
 85804 (1998 WQ5),AMO,Y,N,15.36,2.272,0.167,2.6761,,,0.3544,1.721,1.111,27.66,285.68,269.84,245.9,0.4365,825.0,0.371,0.0,4087
 85818 (1998 XM4),APO,Y,N,15.42,2.028,0.168,19.451,,,0.416,1.657,0.967,62.72,235.64,301.22,131.4,0.4622,779.0,0.108,0.0,1701
 85839 (1998 YO4),AMO,Y,N,16.58,1.14,0.405,2.45,,,0.2481,1.653,1.243,9.32,28.5,199.69,97.04,0.4636,777.0,0.239,0.0,2886
 85953 (1999 FK21),ATE,Y,N,18.1,0.59,0.32,28.08,,,0.703,0.7389,0.219,12.6,180.43,172.43,258.98,1.552,232.0,0.0706,0.0,2135
 85989 (1999 JD6),ATE,Y,Y,17.07,1.462,0.056,7.6638,,,0.6329,0.8831,0.324,17.07,130.14,309.26,93.5,1.188,303.0,0.0483,0.0,3850
 85990 (1999 JV6),APO,Y,Y,20.27,0.451,0.095,6.538,,,0.3115,1.009,0.695,5.36,124.2,235.71,341.16,0.9723,370.0,0.0313,0.0,1203
 86039 (1999 NC43),APO,Y,Y,15.95,2.22,0.14,122.2,,,0.5789,1.76,0.741,7.13,311.62,120.82,26.21,0.4222,853.0,0.025,0.0,1815
 86067 (1999 RM28),AMO,Y,N,16.45,1.245,0.314,9.196,,,0.3234,1.817,1.229,30.55,136.03,301.89,193.92,0.4023,895.0,0.364,0.0,1493
 86324 (1999 WA2),AMO,Y,N,15.83,2.102,0.191,7.161,,,0.4345,1.966,1.112,34.61,293.64,75.31,203.78,0.3574,1010.0,0.341,0.0,3557
 86326 (1999 WK13),AMO,Y,N,17.35,1.348,0.098,6.36,,,0.3627,1.844,1.175,34.31,78.44,312.59,147.42,0.3935,915.0,0.279,0.0,1143
 86666 (2000 FL10),APO,Y,N,16.88,1.165,0.228,206.0,,,0.427,1.463,0.838,29.01,186.9,258.89,223.95,0.5569,646.0,0.0815,0.0,2114
 86667 (2000 FO10),ATE,Y,N,17.54,0.745,0.349,53.756,,,0.5946,0.8594,0.348,14.29,208.3,172.49,229.06,1.237,291.0,0.133,0.0,2444
 86819 (2000 GK137),APO,Y,Y,17.48,0.802,0.301,3.0239,,,0.5059,1.996,0.986,10.06,164.87,150.28,352.36,0.3496,1030.0,0.0163,0.0,864
 86829 (2000 GR146),APO,Y,N,15.81,1.823,0.232,3.0996,,,0.575,1.463,0.622,14.37,78.46,31.43,216.22,0.5571,646.0,0.203,0.0,2093
 87309 (2000 QP),ATE,Y,N,17.59,0.568,0.499,2.1651,,,0.4632,0.8475,0.455,34.74,294.27,188.17,14.58,1.263,285.0,0.201,0.0,1157
 87311 (2000 QJ1),APO,Y,N,16.5,1.948,0.142,,,,0.5121,1.59,0.776,7.7,191.41,343.51,329.27,0.4915,733.0,0.109,0.0,2530
 88188 (2000 XH44),AMO,Y,N,16.08,1.371,0.374,2.6906,,,0.3913,2.008,1.222,11.34,340.12,195.36,221.34,0.3464,1040.0,0.232,0.0,3659
 88213 (2001 AF2),ATE,Y,N,19.48,0.912,0.028,,,,0.5953,0.9539,0.386,17.81,114.25,194.99,17.42,1.058,340.0,0.172,0.0,364
 88254 (2001 FM129),APO,Y,Y,17.77,0.8,0.252,38.56,,,0.6295,1.182,0.438,1.52,272.11,140.24,113.21,0.7666,470.0,0.01,0.0,921
 88263 (2001 KQ1),AMO,Y,N,15.69,5.748,0.037,13.17,,,0.4326,2.097,1.19,38.79,232.82,241.58,89.7,0.3246,1110.0,0.375,0.0,2519
 88710 (2001 SL9),APO,Y,N,17.61,0.76,0.281,2.4004,,,0.2701,1.061,0.775,21.9,202.82,329.36,243.84,0.9013,399.0,0.199,0.0,2319
 89355 (2001 VS78),AMO,Y,N,15.8,2.038,0.246,40.553,,,0.3083,1.787,1.236,22.66,103.03,85.0,329.87,0.4126,873.0,0.444,0.0,3510
 89830 (2002 CE),AMO,Y,Y,14.98,5.067,0.079,2.6149,,,0.507,2.078,1.024,43.64,19.89,5.85,24.89,0.3291,1090.0,0.0281,0.0,3626
 89959 (2002 NT7),APO,Y,Y,16.55,1.407,0.224,5.527,,,0.5284,1.735,0.818,42.36,132.0,300.72,19.05,0.4312,835.0,0.00088,0.0,1954
 90075 (2002 VU94),APO,Y,Y,15.38,2.233,0.294,7.879,,,0.5742,2.138,0.91,8.86,226.5,31.14,254.07,0.3153,1140.0,0.0272,0.0,3624
 90367 (2003 LC5),APO,Y,N,17.92,1.748,0.048,39.0,,,0.4262,1.156,0.663,16.88,86.82,313.85,289.53,0.7935,454.0,0.151,0.0,1758
 90403 (2003 YE45),APO,Y,Y,17.78,0.572,0.493,505.0,,,0.28,1.234,0.889,19.01,286.22,306.84,268.53,0.7186,501.0,0.0377,0.0,2216
 90416 (2003 YK118),APO,Y,Y,18.83,0.968,0.062,43.58,,,0.4922,1.695,0.861,7.83,326.75,233.27,295.82,0.4466,806.0,0.00149,0.0,799
 96189 Pygmalion (1991 NT3),AMO,Y,N,16.48,3.605,0.041,,,,0.307,1.821,1.262,14.0,287.17,293.24,35.23,0.4012,897.0,0.332,0.0,1548
 96590 (1998 XB),ATE,Y,N,16.28,0.882,0.489,520.0,,,0.3512,0.9079,0.589,13.6,75.68,202.72,253.63,1.139,316.0,0.114,0.0,3847
 99248 (2001 KY66),APO,Y,Y,16.54,1.115,0.429,19.7,,,0.5077,1.866,0.919,10.61,284.11,61.55,154.35,0.3865,931.0,0.0464,0.0,3603
 99907 (1989 VA),ATE,Y,N,17.96,1.4,,2.5246,,,0.5947,0.7284,0.295,28.8,225.58,2.87,155.84,1.586,227.0,0.155,0.0,1591
 99942 Apophis (2004 MN4),ATE,Y,Y,19.09,0.34,0.35,30.56,,,0.1912,0.9224,0.746,3.34,203.9,126.67,312.81,1.113,324.0,0.000361,0.0,7370
100004 (1983 VA),APO,Y,N,16.43,2.7,0.0668,3.1643,,,0.7027,2.59,0.77,15.7,76.29,13.75,347.84,0.2365,1520.0,0.174,0.0,1351
100756 (1998 FM5),APO,Y,N,16.34,1.809,0.163,6.369,,,0.5546,2.265,1.009,11.57,176.5,312.06,48.9,0.2892,1240.0,0.093,0.0,1686
100926 (1998 MQ),AMO,Y,N,16.63,1.174,0.234,2.328,,,0.4075,1.783,1.056,24.24,221.07,138.81,135.12,0.4141,869.0,0.129,0.0,1819
101955 Bennu (1999 RQ36),APO,Y,Y,20.21,0.48444,0.044,4.296061,4.8904e-09,1.194,0.2037,1.126,0.897,6.03,2.06,66.22,101.7,0.8245,437.0,0.00322,0.0,554
103067 (1999 XA143),APO,Y,Y,16.8,1.282,0.246,9.849,,,0.5812,1.843,0.772,38.57,116.51,104.1,86.81,0.3938,914.0,0.0403,0.0,1694
105140 (2000 NL10),ATE,Y,N,15.75,1.946,0.223,6.9269,,,0.8169,0.9143,0.167,32.54,237.28,281.68,126.8,1.127,319.0,0.356,0.0,3306
105141 (2000 NF11),AMO,Y,N,19.09,0.352,0.431,,,,0.189,1.421,1.152,14.83,123.7,116.0,35.67,0.5819,619.0,0.212,0.0,516
108519 (2001 LF),AMO,Y,N,17.94,1.423,0.06,4.495,,,0.271,1.604,1.169,16.4,267.25,343.93,29.48,0.4854,742.0,0.159,0.0,1083
111253 (2001 XU10),APO,Y,Y,15.24,3.006,0.178,,,,0.4398,1.753,0.982,42.04,310.14,6.97,231.99,0.4245,848.0,0.0314,0.0,2356
112985 (2002 RS28),AMO,Y,N,15.77,3.618,0.033,4.787,,,0.4922,2.22,1.128,46.99,211.96,105.29,30.89,0.2979,1210.0,0.414,0.0,3031
136564 (1977 VA),AMO,Y,N,19.28,0.4,,,,,0.3942,1.866,1.13,2.98,224.45,172.68,310.87,0.3868,931.0,0.137,0.0,300
136874 (1998 FH74),APO,Y,N,15.74,3.398,0.073,28.55,,,0.884,2.202,0.255,21.14,197.53,193.41,215.32,0.3015,1190.0,0.236,0.0,1525
137032 (1998 UO1),APO,Y,N,16.66,1.055,0.183,2.925,,,0.7634,1.596,0.378,25.47,358.31,252.6,206.04,0.489,736.0,0.0596,0.0,1575
137062 (1998 WM),APO,Y,N,16.76,1.265,0.411,2.58,,,0.3153,1.225,0.838,22.52,45.62,172.58,201.77,0.7273,495.0,0.17,0.0,5442
137084 (1998 XS16),APO,Y,N,16.47,1.228,0.322,5.419,,,0.4966,1.212,0.61,26.56,272.98,358.34,253.9,0.7385,488.0,0.408,0.0,3167
137099 (1998 YW3),APO,Y,N,18.29,0.564,0.291,,,,0.4628,1.1,0.591,28.79,94.26,194.86,270.77,0.8542,421.0,0.388,0.0,633
137805 (1999 YK5),ATE,Y,N,16.72,2.243,0.027,3.93,,,0.5583,0.8294,0.366,16.75,349.51,292.88,252.59,1.305,276.0,0.114,0.0,2247
137924 (2000 BD19),ATE,Y,N,17.5,0.97,0.247,10.57,,,0.895,0.8764,0.092,25.75,333.67,324.37,333.2,1.201,300.0,0.0904,0.0,1293
137925 (2000 BJ19),APO,Y,N,16.06,1.372,0.373,48.0,,,0.7638,1.292,0.305,31.12,131.22,175.52,54.92,0.6713,536.0,0.39,0.0,3100
138013 (2000 CN101),APO,Y,N,14.7,3.518,0.172,,,,0.6348,1.598,0.584,15.98,183.3,118.76,140.95,0.4878,738.0,0.108,0.0,1593
138127 (2000 EE14),ATE,Y,Y,17.11,0.754,0.449,2.586,,,0.5331,0.6618,0.309,26.46,155.75,197.85,88.53,1.831,197.0,0.0239,0.0,1125
138359 (2000 GX127),APO,Y,N,17.97,1.085,0.095,3.685,,,0.3613,1.141,0.729,20.24,43.98,4.75,148.8,0.8081,445.0,0.262,0.0,860
138847 (2000 VE62),AMO,Y,N,17.07,0.965,0.396,7.6,,,0.2877,1.619,1.153,22.18,207.09,16.34,236.96,0.4784,752.0,0.155,0.0,2580
138883 (2000 YL29),APO,Y,N,16.84,1.222,0.247,10.592,,,0.344,1.536,1.008,21.89,182.72,115.93,211.81,0.5177,695.0,0.138,0.0,1691
138947 (2001 BA40),APO,Y,N,18.82,0.447,0.292,,,,0.2537,1.119,0.835,12.85,270.86,0.09,230.87,0.8327,432.0,0.183,0.0,535
139056 (2001 FY),AMO,Y,N,19.18,0.32,0.52,5.207,,,0.328,1.885,1.267,4.73,111.15,110.65,171.7,0.3807,946.0,0.271,0.0,293
139289 (2001 KR1),APO,Y,N,17.8,1.126,0.127,11.3,,,0.8412,1.26,0.2,23.26,102.7,291.49,66.98,0.6972,516.0,0.179,0.0,886
139345 (2001 KA67),APO,Y,N,16.74,2.586,0.038,44.25,,,0.7019,1.805,0.538,22.28,108.34,38.0,55.76,0.4064,886.0,0.262,0.0,1067
140158 (2001 SX169),APO,Y,Y,18.48,0.566,0.289,3.143,,,0.4609,1.347,0.726,2.52,126.78,42.72,346.51,0.6302,571.0,0.0261,0.0,929
140288 (2001 SN289),APO,Y,Y,16.73,1.263,0.231,6.58,,,0.5082,1.784,0.877,53.19,357.06,225.63,149.86,0.4136,870.0,0.0189,0.0,535
141432 (2002 CQ11),ATE,Y,Y,20.06,0.239,0.34,2.605,,,0.4275,0.9762,0.559,2.47,81.34,272.64,290.45,1.022,352.0,0.0197,0.0,472
141484 (2002 DB4),ATE,Y,N,16.26,1.034,0.455,,,,0.3695,0.8579,0.541,16.6,234.22,94.16,55.55,1.24,290.0,0.154,0.0,1569
141531 (2002 GB),ATE,Y,N,19.15,0.303,0.482,73.0,,,0.529,0.9921,0.467,22.55,40.8,8.33,40.9,0.9974,361.0,0.28,0.0,890
142040 (2002 QE15),AMO,Y,N,16.25,1.232,0.353,3.853,,,0.3444,1.667,1.093,28.25,226.38,160.54,257.41,0.4579,786.0,0.116,0.0,2560
142464 (2002 TC9),AMO,Y,N,18.34,0.886,0.118,5.131,,,0.1548,1.234,1.043,16.28,191.81,29.34,112.09,0.7191,501.0,0.058,0.0,4558
142563 (2002 TR69),AMO,Y,N,17.21,0.86,0.378,,,,0.3437,1.66,1.089,20.49,341.95,192.29,148.67,0.4609,781.0,0.102,0.0,724
142781 (2002 UM11),AMO,Y,N,16.14,1.595,0.252,6.81,,,0.3878,1.951,1.194,41.02,228.97,229.05,124.85,0.3616,995.0,0.311,0.0,1449
143624 (2003 HM16),APO,Y,N,15.91,2.137,0.169,32.1,,,0.5774,1.967,0.831,35.54,195.83,47.2,45.48,0.3574,1010.0,0.0529,0.0,1621
144901 (2004 WG1),APO,Y,N,17.54,2.24,0.038,8.06,,,0.5219,1.64,0.784,13.04,41.98,232.49,98.81,0.4693,767.0,0.0562,0.0,724
152558 (1990 SA),AMO,Y,N,16.86,1.4,0.146,8.147,,,0.4413,2.014,1.125,38.14,172.14,115.14,138.19,0.3449,1040.0,0.308,0.0,570
152563 (1992 BF),ATE,Y,N,19.71,0.272,0.287,32.0,,,0.2717,0.9079,0.661,7.25,315.19,336.57,242.27,1.139,316.0,0.0626,0.0,638
152564 (1992 HF),APO,Y,N,19.63,0.282,0.169,3.276,,,0.5617,1.391,0.61,13.32,213.36,128.35,108.49,0.6008,599.0,0.12,0.0,132
152671 (1998 HL3),APO,Y,Y,20.24,0.298,0.2,,,,0.366,1.129,0.716,2.68,163.63,188.15,254.92,0.8216,438.0,0.0454,0.0,538
152679 (1998 KU2),APO,Y,N,16.55,4.167,0.022,125.0,,,0.5524,2.252,1.008,4.93,205.72,120.3,19.03,0.2917,1230.0,0.0601,0.0,2208
152742 (1998 XE12),ATE,Y,N,19.1,0.413,0.264,,,,0.7392,0.8781,0.229,13.43,280.01,353.17,16.51,1.198,301.0,0.112,0.0,565
152754 (1999 GS6),APO,Y,Y,19.22,0.414,0.216,8.021,,,0.4974,1.191,0.599,2.02,314.36,135.0,226.74,0.7584,475.0,0.0189,0.0,553
152889 (2000 CF59),APO,Y,N,16.5,1.022,0.388,,,,0.6407,1.679,0.603,41.55,141.74,222.47,354.16,0.4529,795.0,0.317,0.0,1278
152931 (2000 EA107),ATE,Y,N,16.3,1.646,0.237,4.1367,,,0.4557,0.9297,0.506,28.58,52.87,278.02,57.09,1.099,327.0,0.163,0.0,2173
152941 (2000 FM10),APO,Y,N,17.61,0.82,0.205,,,,0.6807,1.481,0.473,8.73,18.52,343.98,300.53,0.5467,659.0,0.127,0.0,782
152952 (2000 GC2),AMO,Y,N,17.57,0.776,0.353,4.179,,,0.1869,1.384,1.125,55.29,358.68,280.2,187.14,0.6057,594.0,0.279,0.0,1090
152964 (2000 GP82),APO,Y,N,17.8,0.788,0.342,,,,0.3934,1.397,0.847,13.23,114.85,333.11,261.11,0.5971,603.0,0.0916,0.0,883
152978 (2000 GJ147),APO,Y,Y,19.57,0.531,0.109,10.009,,,0.2368,1.162,0.887,25.01,57.84,240.78,88.68,0.7865,458.0,0.027,0.0,864
153195 (2000 WB1),APO,Y,N,17.51,1.327,0.1,,,,0.6192,1.301,0.496,41.1,21.36,262.91,5.15,0.6639,542.0,0.0914,0.0,395
153201 (2000 WO107),ATE,Y,Y,19.3,0.51,0.129,5.022,,,0.7808,0.9111,0.2,7.77,69.19,213.76,312.79,1.133,318.0,0.00286,0.0,1137
153219 (2000 YM29),AMO,Y,N,18.54,1.289,0.035,,,,0.4356,2.089,1.179,40.34,116.54,1.0,83.99,0.3264,1100.0,0.195,0.0,647
153249 (2001 BW15),APO,Y,N,15.67,3.16,0.177,,,,0.5907,2.117,0.867,41.28,328.76,298.06,302.81,0.3199,1130.0,0.0561,0.0,1025
153271 (2001 CL42),APO,Y,N,17.4,2.441,0.039,,,,0.4024,1.557,0.931,21.65,12.01,270.88,182.2,0.5072,710.0,0.191,0.0,1088
153591 (2001 SN263),AMO,Y,Y,17.11,2.0,,3.423,,,0.48,1.988,1.034,6.69,325.71,173.06,124.08,0.3517,1020.0,0.0472,0.0,3654
153814 (2001 WN5),APO,Y,Y,18.28,0.932,0.097,4.253,,,0.4673,1.711,0.912,1.92,277.35,44.65,286.58,0.4402,818.0,0.0019,0.0,1021
153842 (2001 XT30),AMO,Y,N,16.7,1.759,0.193,17.95,,,0.567,2.749,1.19,9.0,139.83,219.39,124.75,0.2162,1660.0,0.208,0.0,1097
154029 (2002 CY46),APO,Y,N,16.52,1.119,0.098,2.554,,,0.4624,1.89,1.016,44.2,346.14,319.4,322.74,0.3794,949.0,0.0868,0.0,1164
154035 (2002 CV59),APO,Y,N,17.38,1.098,0.149,,,,0.532,1.21,0.566,49.06,13.09,347.15,160.58,0.7405,486.0,0.426,0.0,418
154276 (2002 SY50),APO,Y,Y,17.61,1.06,0.143,4.823,,,0.6889,1.705,0.53,8.74,34.02,99.71,105.17,0.4426,813.0,0.00394,0.0,1165
154589 (2003 MX2),AMO,Y,N,16.62,1.109,0.395,1.611,,,0.459,2.289,1.238,7.18,58.62,300.61,123.35,0.2846,1270.0,0.263,0.0,1608
154590 (2003 MA3),APO,Y,Y,21.7,0.086,0.53,,,,0.4021,1.105,0.661,1.42,152.66,228.88,36.33,0.8483,424.0,0.0131,0.0,123
154807 (2004 PP97),APO,Y,N,18.56,0.469,0.319,161.0,,,0.3166,1.484,1.014,15.53,15.07,68.72,182.39,0.5452,660.0,0.146,0.0,1407
154993 (2005 EA94),APO,Y,N,17.99,0.828,0.195,13.761,,,0.6637,1.517,0.51,10.32,104.06,309.03,55.64,0.5278,682.0,0.0749,0.0,559
155110 (2005 TB),APO,Y,N,17.46,0.683,0.379,3.479,,,0.3485,1.261,0.822,30.38,226.17,44.78,118.57,0.6957,517.0,0.113,0.0,1420
159454 (2000 DJ8),AMO,Y,N,18.04,0.577,0.367,14.245,,,0.2527,1.411,1.055,37.75,139.52,262.96,223.35,0.588,612.0,0.246,0.0,912
159459 (2000 KB),APO,Y,N,16.31,1.769,0.187,,,,0.7989,2.337,0.47,56.16,185.35,185.39,27.74,0.2759,1300.0,0.531,0.0,450
159504 (2000 WO67),APO,Y,Y,16.97,2.324,0.052,2.941,,,0.617,2.433,0.932,9.69,107.56,237.81,242.88,0.2597,1390.0,0.0491,0.0,748
159518 (2001 FF7),AMO,Y,N,18.01,1.784,0.038,,,,0.4452,2.104,1.167,47.47,190.08,59.44,9.56,0.3229,1120.0,0.339,0.0,281
159560 (2001 TO103),AMO,Y,N,17.14,1.156,0.209,,,,0.4348,2.214,1.252,25.7,42.14,261.78,167.2,0.2991,1200.0,0.472,0.0,667
159686 (2002 LB6),APO,Y,N,16.34,1.845,0.162,,,,0.688,1.804,0.563,24.73,244.73,141.05,206.78,0.4069,885.0,0.283,0.0,886
159857 (2004 LJ1),APO,Y,Y,15.46,3.07,0.13,2.72627,,,0.5935,2.262,0.92,23.15,235.53,140.02,75.2,0.2896,1240.0,0.0154,0.0,3315
159929 (2005 UK),AMO,Y,N,17.72,2.62,0.026,33.4,,,0.4078,1.887,1.117,54.42,222.54,19.59,37.82,0.3803,947.0,0.126,0.0,367
161989 Cacus (1978 CA),APO,Y,Y,17.31,1.9,0.09,3.7538,,,0.2138,1.123,0.883,26.07,161.2,102.11,310.22,0.8286,434.0,0.0144,0.0,1795
161999 (1989 RC),AMO,Y,N,18.8,0.458,0.211,,,,0.5126,2.318,1.13,7.38,140.08,181.51,109.11,0.2793,1290.0,0.116,0.0,156
162000 (1990 OS),APO,Y,Y,19.64,0.4,,2.536,,,0.4624,1.678,0.902,1.09,346.49,21.62,60.96,0.4533,794.0,0.00902,0.0,427
162038 (1996 DH),AMO,Y,N,16.69,1.959,0.105,7.16,,,0.2766,1.587,1.148,17.23,309.26,351.6,179.28,0.493,730.0,0.134,0.0,1977
162058 (1997 AE12),AMO,Y,N,17.99,0.847,0.186,1880.0,,,0.5542,2.367,1.055,4.85,304.75,60.91,28.71,0.2706,1330.0,0.0875,0.0,887
162080 (1998 DG16),ATE,Y,N,19.93,0.777,0.035,,,,0.3582,0.8967,0.576,16.21,344.32,356.87,68.1,1.161,310.0,0.187,0.0,723
162116 (1998 SA15),APO,Y,Y,19.54,0.538,0.116,,,,0.5585,1.916,0.846,7.11,114.17,331.45,56.34,0.3717,968.0,0.0473,0.0,91
162142 (1998 VR),ATE,Y,N,18.78,0.462,0.25,8.44,,,0.3179,0.8753,0.597,21.81,46.35,170.74,196.47,1.204,299.0,0.151,0.0,773
162173 Ryugu (1999 JU3),APO,Y,Y,19.55,0.896,0.045,7.63262,3e-08,1.19,0.1911,1.191,0.963,5.87,251.29,211.62,270.66,0.7584,475.0,0.000833,0.0,5088
162181 (1999 LF6),APO,Y,N,18.2,0.729,0.175,37.26,,,0.2806,1.41,1.014,18.94,208.49,140.88,237.24,0.5889,611.0,0.0639,0.0,1914
162269 (1999 VO6),APO,Y,N,16.97,1.01,0.274,,,,0.7378,1.135,0.298,40.13,206.82,302.53,139.06,0.8147,442.0,0.077,0.0,933
162385 (2000 BM19),ATE,Y,N,18.59,0.812,0.115,9.463,,,0.3587,0.7406,0.475,6.88,70.2,247.73,305.81,1.547,233.0,0.0834,0.0,334
162463 (2000 JH5),APO,Y,N,17.97,1.048,0.084,3.024,,,0.2382,1.146,0.873,22.21,80.17,353.59,73.41,0.8038,448.0,0.111,0.0,3361
162483 (2000 PJ5),ATE,Y,N,17.53,0.906,0.236,2.642,,,0.3737,0.8727,0.547,51.18,124.41,7.65,145.73,1.209,298.0,0.174,0.0,874
162510 (2000 QW69),APO,Y,Y,17.6,1.406,0.089,,,,0.3023,1.376,0.96,38.14,344.32,220.72,335.64,0.6105,590.0,0.0237,0.0,1756
