full_name,class,neo,pha,H,diameter,albedo,rot_per,GM,density,e,a,q,i,om,w,ma,n,per,moid,condition_code,n_obs_used
  3552 Don Quixote (1983 SA),AMO,Y,N,13.03,19.0,0.03,6.665,,,0.7073,4.27,1.25,31.05,349.97,316.49,308.26,0.1117,3220.0,0.342,0.0,1741
  3554 Amun (1986 EB),ATE,Y,N,15.91,3.341,0.074,2.53001,,,0.2806,0.974,0.701,23.36,358.6,359.41,276.71,1.025,351.0,0.25,0.0,1979
  3671 Dionysus (1984 KD),APO,Y,Y,16.5,1.5,0.16,2.7053,,,0.5438,2.197,1.002,13.53,82.02,204.43,252.1,0.3026,1190.0,0.015,0.0,1183
  3691 Bede (1982 FT),AMO,Y,N,14.93,4.3,0.515,226.8,,,0.2845,1.774,1.27,20.35,348.69,235.06,151.9,0.4171,863.0,0.35,0.0,8370
  3752 Camillo (1985 PA),APO,Y,N,15.14,2.306,0.21,37.846,,,0.3015,1.414,0.987,55.56,147.95,312.23,243.34,0.5864,614.0,0.0778,0.0,3246
  3753 Cruithne (1986 TO),ATE,Y,N,15.42,2.071,0.365,27.3099,,,0.5149,0.9978,0.484,19.8,126.19,43.88,344.36,0.9889,364.0,0.0703,0.0,1681
  3757 Anagolay (1982 XB),APO,Y,Y,19.01,0.5,0.18,9.012,,,0.4459,1.835,1.017,3.87,74.93,17.24,92.37,0.3967,908.0,0.0366,0.0,211
  3908 Nyx (1980 PA),AMO,Y,N,17.45,1.0,0.23,4.42601,,,0.459,1.928,1.043,2.19,261.19,126.66,312.97,0.3682,978.0,0.0567,0.0,1985
  3988 Huma (1986 LA),AMO,Y,N,17.94,0.7,,10.53,,,0.3167,1.545,1.055,10.77,229.78,86.96,161.68,0.5134,701.0,0.177,0.0,714
  4015 Wilson-Harrington (1979 VA),APO,Y,Y,16.19,4.0,0.05,3.5736,,,0.6309,2.626,0.969,2.8,266.72,95.52,274.4,0.2316,1550.0,0.043,0.0,1522
  4034 Vishnu (1986 PA),APO,Y,Y,18.5,0.42,0.52,44.4,,,0.444,1.059,0.589,11.17,157.86,296.7,261.95,0.9039,398.0,0.0191,0.0,1305
  4055 Magellan (1985 DO2),AMO,Y,N,14.9,2.49,0.31,7.475,,,0.326,1.82,1.227,23.25,164.81,154.38,67.87,0.4013,897.0,0.239,0.0,11574
  4179 Toutatis (1989 AC),APO,Y,Y,15.29,5.4,0.405,176.0,,,0.6247,2.543,0.954,0.45,125.37,277.86,76.89,0.243,1480.0,0.00651,0.0,7137
  4183 Cuno (1959 LM),APO,Y,Y,14.18,3.651,0.097,3.5595,,,0.6362,1.981,0.721,6.67,294.35,237.02,317.37,0.3535,1020.0,0.0284,0.0,5228
  4197 Morpheus (1982 TA),APO,Y,N,14.97,1.8,0.37,3.538,,,0.7725,2.295,0.522,12.6,6.98,122.58,110.47,0.2834,1270.0,0.0985,0.0,1212
  4341 Poseidon (1987 KF),APO,Y,N,16.08,3.177,0.054,6.262,,,0.6801,1.834,0.587,11.84,108.02,15.83,202.7,0.3968,907.0,0.194,0.0,936
  4401 Aditi (1985 TB),AMO,Y,N,16.12,1.801,0.343,6.67,,,0.5634,2.584,1.128,26.62,22.75,68.19,228.35,0.2373,1520.0,0.335,0.0,1320
  4486 Mithra (1987 SB),APO,Y,Y,15.62,1.849,0.297,67.5,,,0.66,2.206,0.75,3.03,82.18,169.26,276.29,0.3007,1200.0,0.0459,0.0,2070
  4544 Xanthus (1989 FB),APO,Y,N,17.39,1.3,,37.65,,,0.2501,1.042,0.781,14.14,23.94,333.84,5.14,0.9266,389.0,0.173,0.0,2939
  4660 Nereus (1982 DB),APO,Y,Y,18.75,0.33,0.55,15.1749,,,0.3588,1.485,0.952,1.45,313.11,159.54,49.82,0.5446,661.0,0.00416,0.0,4994
  4688 (1980 WF),AMO,Y,N,19.6,0.6,0.18,,,,0.5179,2.233,1.077,6.37,241.23,213.83,163.46,0.2954,1220.0,0.108,0.0,332
  4769 Castalia (1989 PB),APO,Y,Y,17.4,1.4,0.092,4.095,,,0.4832,1.063,0.549,8.89,325.5,121.45,323.77,0.8992,400.0,0.0203,0.0,690
  4954 Eric (1990 SQ),AMO,Y,N,12.55,10.8,0.176,12.056,,,0.4494,2.001,1.102,17.43,358.4,52.62,127.17,0.3481,1030.0,0.194,0.0,7543
  4957 Brucemurray (1990 XJ),AMO,Y,N,15.05,3.499,0.132,2.892,,,0.2188,1.565,1.223,35.01,254.88,97.46,351.78,0.5032,715.0,0.425,0.0,2654
  5143 Heracles (1991 VL),APO,Y,N,14.04,4.843,0.227,2.7063,,,0.7712,1.835,0.42,8.98,309.1,228.21,204.12,0.3966,908.0,0.0575,0.0,5208
  5332 Davidaguilar (1990 DA),AMO,Y,N,14.96,3.6,,5.803,,,0.4556,2.163,1.178,25.52,142.76,306.09,103.48,0.3097,1160.0,0.305,0.0,7432
  5370 Taranis (1986 RA),AMO,Y,N,15.23,3.6,0.037,,,,0.637,3.318,1.205,19.17,177.78,161.28,156.07,0.1631,2210.0,0.212,0.0,362
  5381 Sekhmet (1991 JY),ATE,Y,N,16.72,0.935,0.507,2.8233,,,0.2964,0.9474,0.667,48.97,58.53,37.43,266.62,1.069,337.0,0.111,0.0,1221
  5587 (1990 SB),AMO,Y,N,13.89,3.57,0.32,5.0522,,,0.5443,2.401,1.094,18.04,189.28,87.61,209.58,0.265,1360.0,0.31,0.0,5086
  5604 (1992 FE),ATE,Y,Y,17.36,0.55,0.48,5.3375,,,0.4065,0.93,0.552,4.7,311.94,82.77,349.65,1.099,328.0,0.0336,0.0,1531
  5645 (1990 SP),APO,Y,N,17.23,1.668,0.121,30.39,,,0.3873,1.355,0.83,13.51,45.7,48.28,54.55,0.6252,576.0,0.054,0.0,1722
  5646 (1990 TR),AMO,Y,N,15.51,4.3,0.223,3.1999,,,0.4358,2.144,1.21,7.91,14.07,335.82,80.51,0.3139,1150.0,0.211,0.0,2653
  5653 Camarillo (1992 WD5),AMO,Y,N,16.22,1.537,0.271,4.834,,,0.3044,1.794,1.248,6.87,9.88,122.65,227.98,0.4101,878.0,0.282,0.0,3929
  5731 Zeus (1988 VP4),APO,Y,N,15.47,5.231,0.031,,,,0.6524,2.265,0.787,11.2,280.59,218.44,281.87,0.2891,1250.0,0.0647,0.0,1604
  5751 Zao (1992 AC),AMO,Y,N,14.94,2.3,0.36,76.0,,,0.4253,2.101,1.208,16.07,121.63,25.44,23.79,0.3235,1110.0,0.24,0.0,2938
  5797 Bivoj (1980 AA),AMO,Y,N,18.89,0.4,,2.706,,,0.4443,1.894,1.052,4.19,298.91,168.66,220.58,0.3782,952.0,0.0698,0.0,458
  5828 (1991 AM),APO,Y,N,15.96,1.457,0.331,2.6666,,,0.6949,1.698,0.518,30.18,125.34,152.87,235.61,0.4453,808.0,0.399,0.0,1696
  5836 (1993 MF),AMO,Y,N,14.99,2.754,0.156,4.9543,,,0.5383,2.439,1.126,7.93,238.59,78.15,162.94,0.2588,1390.0,0.18,0.0,2386
  5863 Tara (1983 RB),AMO,Y,N,15.83,1.345,0.488,5.867,,,0.5073,2.221,1.094,19.51,168.68,115.72,285.95,0.2979,1210.0,0.231,0.0,2203
  6050 Miwablock (1992 AE),AMO,Y,N,14.94,2.884,0.257,5.7566,,,0.4372,2.202,1.239,6.41,88.15,285.0,153.91,0.3017,1190.0,0.268,0.0,3294
  6053 (1993 BW3),APO,Y,N,15.1,3.72,0.14,2.573,,,0.5284,2.147,1.013,21.58,318.22,74.95,207.37,0.3133,1150.0,0.222,0.0,3314
  6063 Jason (1984 KB),APO,Y,N,16.02,1.4,0.21,48.6,,,0.7625,2.22,0.527,4.96,169.01,337.63,219.06,0.298,1210.0,0.0763,0.0,1328
  6178 (1986 DA),AMO,Y,N,15.71,2.3,0.15,3.5002,,,0.5848,2.814,1.168,4.31,64.48,127.47,138.36,0.2088,1720.0,0.178,0.0,1375
  6455 (1992 HE),APO,Y,N,14.08,4.626,0.227,2.7361,,,0.5729,2.24,0.957,37.34,26.89,262.74,347.71,0.2939,1220.0,0.287,0.0,5449
  6489 Golevka (1991 JX),APO,Y,Y,19.22,0.53,0.151,6.026,,2.7,0.6188,2.477,0.944,2.26,208.71,69.53,252.42,0.2529,1420.0,0.0225,0.0,1017
  6611 (1993 VW),APO,Y,N,16.82,1.408,0.158,2.5568,,,0.4845,1.696,0.874,8.7,230.76,281.61,133.51,0.4463,807.0,0.0598,0.0,1939
  7025 (1993 QA),APO,Y,N,18.08,0.498,0.34,2.5057,,,0.315,1.476,1.011,12.61,146.59,323.48,234.62,0.5498,655.0,0.0622,0.0,963
  7088 Ishtar (1992 AA),AMO,Y,N,16.84,1.298,0.26,2.679,,,0.3903,1.981,1.208,8.3,102.61,354.78,53.18,0.3535,1020.0,0.224,0.0,1473
  7092 Cadmus (1992 LC),APO,Y,N,15.12,6.319,0.046,,,,0.6937,2.545,0.78,17.79,56.7,94.78,127.61,0.2427,1480.0,0.101,0.0,1458
  7335 (1989 JA),APO,Y,Y,17.7,1.8,0.448,2.58988,,,0.4845,1.773,0.914,15.16,61.26,232.34,156.19,0.4176,862.0,0.0215,0.0,2578
  7341 (1991 VK),APO,Y,Y,16.96,0.982,0.235,4.2096,,,0.5061,1.842,0.91,5.41,294.72,173.51,195.6,0.3944,913.0,0.0481,0.0,2390
  7350 (1993 VA),APO,Y,N,17.16,1.921,0.069,3.58264,,,0.3912,1.356,0.826,7.26,133.04,336.71,73.44,0.6242,577.0,0.0811,0.0,2092
